verdict	leverage	occurrences	fanin	type	java_class	category	source	note
STRUCT	0	0	0	DataTypeConflictHandler		open-extension	promoted	Java declares DataTypeConflictHandler a class with one subclass (DWARFDataTypeConflictHandler) -- inheritance for reuse, not polymorphism; port DataTypeConflictHandler as a concrete type and let DWARFDataTypeConflictHandler embed it  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	259	DataTypeManagerService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ENUM	0	0	0	DataTypeProviderContext		graph?	promoted	small closed set: 2 Java subtypes  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
WAIT-PORT	0	0	0	DataTypeUtilities		graph?	derived	Java declares DataTypeUtilities as a class with no subtypes, so a concrete type is the right end state -- but DataTypeUtilities is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	1276	DataUtilities		graph?	promoted	Java declares DataUtilities as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (3 Rust impls notwithstanding)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	98	DebuggerEmulationService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	DebuggerListingService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	100	DebuggerPlatformService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	111	DebuggerStaticMappingService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	98	DebuggerTargetService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	106	DebuggerTraceManagerService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	DecompilerHighlightService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	DecompilerMarginService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	DefaultAssemblyResolvedBackfill		graph?	promoted	Java declares DefaultAssemblyResolvedBackfill as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	DefaultLanguageService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	DefaultPcodeThread		graph?	promoted	inheritance chain, not alternatives: SymZ3PcodeThread extend(s) AuxPcodeThread. Java subclassing for reuse has no Rust translation -- port AuxPcodeThread as a concrete type and let the others embed it  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	DefaultPluginPackagingProvider		open-extension	family	[family:Provider] Caller/plugin supplies the implementation (byte sources, component providers, script providers). Open set.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	DefaultProjectData		graph?	promoted	Java declares DefaultProjectData a class with one subclass (TransientProjectData) -- inheritance for reuse, not polymorphism; port DefaultProjectData as a concrete type and let TransientProjectData embed it  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ENUM	0	0	0	DefaultSchemaContext		graph?	promoted	small closed set: 2 Java subtypes  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	DefaultSslContextInitializer		graph?	promoted	Java declares DefaultSslContextInitializer as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	DefaultTraceObjectSchema		graph?	promoted	Java declares DefaultTraceObjectSchema as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	DepthFirstSearch		graph?	promoted	Java declares DepthFirstSearch as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ENUM	0	0	304	DisassemblerContextAdapter		open-extension	promoted	small closed set: 3 Java subtypes  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	DisassemblerMessageListener		open-extension	family	[family:Listener] Caller-supplied callback -- a genuine open-ended extension point, which OWNERSHIP_MIGRATION.md explicitly carves out for `dyn`.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	1209	DynamicDataType		closed-hierarchy?	promoted	reaches an extension-point supertype in orig_src -- open by design, so `dyn` is the right tool (18 concrete implementers)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	DynamicEntry		graph?	promoted	Java declares DynamicEntry as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (1 Rust impls notwithstanding)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ENUM	0	0	1233	Enum		graph?	manual	a DataType kind, so it is a variant of the DataType enum rather than a type with its own convention -- OWNERSHIP_MIGRATION.md convention 2 names these explicitly (Structure, Union, Enum, Array, Pointer, TypeDef, ...). Inherited from DataType=ENUM.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	EnumSettingsDefinition		graph?	manual	the caller, a plugin or a processor spec supplies the implementation (userop libraries, inject payloads, settings definitions, assembly solvers, trace-object mixins, task bodies, location kinds). Implementers spread across 2-4 top-level areas; `dyn` is the idiomatic Rust answer. Decided 2026-08-09.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ARENA	0	0	0	EquateManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ENUM	0	0	0	EquateRefDBAdapter		open-extension	promoted	small closed set: 2 Java subtypes  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ARENA	0	0	605	EquateTable		graph?	promoted	same domain concept with different storage backings (DBTraceProgramViewEquateTable, EquateManager). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	307	ErrorDisplay		graph?	promoted	TestFailingErrorDisplayWrapper wrap another implementation, so the wrapper genuinely has to hold something polymorphic -- `dyn` (or a generic parameter) is the right tool here, not an enum  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	EuclideanHyperSpace		graph?	promoted	one concrete Java implementer (ValueSpace) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	EuclideanSpace2D		graph?	promoted	one concrete Java implementer (TraceAddressSnapSpace) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	ExtensionUtils		graph?	promoted	Java declares ExtensionUtils as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (1 Rust impls notwithstanding)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	ExternalDisassembler		graph?	promoted	reaches an extension-point supertype in orig_src -- open by design, so `dyn` is the right tool (1 concrete implementers)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ITER	0	0	0	ExternalLocationIterator		graph?	family	[family:Iterator] Delete the custom trait; implement std::Iterator<Item=T>. Callers take the concrete type or `impl Iterator`; a genuinely heterogeneous collection (e.g. a merge over one iterator per search category) uses Box<dyn Iterator<Item=T>>, which is idiomatic Rust and already excluded from debt scoring -- the erased type is std::Iterator itself. `has_next` has no replacement method: use Peekable to look without consuming, or `while let Some(x) = it.next()`. Worked example: searchtext/iterators/search_address_iterator.rs + listing_display_search_address_iterator.rs.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ARENA	0	0	593	ExternalManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ENUM	0	0	0	Factory		open-extension	promoted	small closed set: 4 Java subtypes  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
WAIT-PORT	0	0	0	FamilySymbol		graph?	derived	Java declares FamilySymbol as a class with no subtypes, so a concrete type is the right end state -- but FamilySymbol is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	FieldIndexTable		graph?	promoted	Java declares FieldIndexTable as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ENUM	0	0	228	FieldKeyInteriorNode		graph?	promoted	small closed set: 2 Java subtypes  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ENUM	0	0	233	FieldKeyNode		graph?	promoted	small closed set: 5 Java subtypes  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ENUM	0	0	230	FieldKeyRecordNode		graph?	promoted	small closed set: 3 Java subtypes  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	FieldMouseHandlerService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
STRUCT	0	0	0	FileAttributeLike		graph?	promoted	Java declares FileAttributeLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (1 Rust impls notwithstanding)  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ENUM	0	0	0	FileBytesAdapter		open-extension	promoted	small closed set: 2 Java subtypes  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ARENA	0	0	1264	FileDataTypeManager		graph?	family	[family:Manager] Java manager singletons that own collections of domain objects -- the manager becomes the arena/store and its contents become typed Copy IDs. Consistent with the Program/Listing/DataTypeManager verdicts.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	FileSystemBrowserService		open-extension	family	[family:Service] Plugin-provided service interface; open set by design. `dyn` is the idiomatic Rust answer.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
ACCEPT	0	0	0	FileSystemEventListener		open-extension	family	[family:Listener] Caller-supplied callback -- a genuine open-ended extension point, which OWNERSHIP_MIGRATION.md explicitly carves out for `dyn`.  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]  [no longer on the frontier; decision retained]
